    1     2     3     4     5     6     7     8     9     10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26   
  1       0.115 0.108 0.254 0.072 0.279 0.071 0.326 0.243 0.069 0.068 0.078 0.078 0.066 0.066 0.209 0.250 0.018 0.018 0.071 0.380 0.500 0.072 0.246 0.033 0.017
  2 0.115       0.553 0.075 0.512 0.087 0.509 0.053 0.053 0.427 0.428 0.435 0.443 0.479 0.479 0.050 0.056 0.004 0.004 0.512 0.068 0.109 0.532 0.051 0.004 0.009
  3 0.108 0.551       0.067 0.512 0.075 0.514 0.057 0.054 0.417 0.421 0.437 0.438 0.481 0.481 0.046 0.052 0.004 0.004 0.509 0.072 0.106 0.530 0.052 0.009 0.009
  4 0.254 0.075 0.067       0.087 0.489 0.082 0.176 0.306 0.083 0.079 0.035 0.031 0.067 0.067 0.261 0.359 0.028 0.029 0.095 0.239 0.262 0.087 0.350 0.026 0.027
  5 0.072 0.512 0.512 0.087       0.100 0.524 0.036 0.060 0.439 0.431 0.395 0.396 0.488 0.488 0.052 0.063 0.005 0.005 0.531 0.059 0.074 0.552 0.063 0.005 0.005
  6 0.279 0.087 0.075 0.489 0.100       0.094 0.217 0.340 0.091 0.086 0.042 0.038 0.077 0.077 0.298 0.425 0.027 0.029 0.108 0.292 0.323 0.100 0.415 0.050 0.026
  7 0.071 0.509 0.514 0.082 0.524 0.094       0.047 0.055 0.439 0.436 0.400 0.408 0.504 0.504 0.047 0.066 0.004 0.005 0.567 0.070 0.069 0.542 0.062 0.004 0.004
  8 0.326 0.049 0.057 0.176 0.036 0.217 0.047       0.141 0.042 0.042 0.028 0.025 0.039 0.039 0.132 0.164 0.017 0.018 0.043 0.570 0.349 0.036 0.161 0.016 0.017
  9 0.243 0.053 0.054 0.306 0.060 0.340 0.055 0.141       0.057 0.057 0.027 0.027 0.071 0.071 0.510 0.452 0.000 0.027 0.060 0.216 0.266 0.056 0.419 0.024 0.025
 10 0.069 0.427 0.417 0.083 0.439 0.091 0.439 0.042 0.057       0.572 0.532 0.531 0.412 0.409 0.050 0.064 0.000 0.004 0.441 0.064 0.070 0.456 0.064 0.004 0.004
 11 0.068 0.428 0.418 0.079 0.435 0.086 0.438 0.042 0.057 0.572       0.531 0.534 0.411 0.411 0.050 0.064 0.000 0.004 0.440 0.064 0.070 0.455 0.064 0.004 0.004
 12 0.078 0.437 0.435 0.031 0.393 0.038 0.400 0.028 0.027 0.532 0.531       0.562 0.365 0.365 0.012 0.024 0.000 0.000 0.391 0.011 0.062 0.405 0.012 0.004 0.008
 13 0.078 0.443 0.438 0.027 0.399 0.034 0.408 0.025 0.027 0.531 0.534 0.562       0.369 0.371 0.011 0.024 0.000 0.000 0.395 0.021 0.069 0.420 0.012 0.004 0.008
 14 0.066 0.479 0.484 0.067 0.488 0.077 0.504 0.039 0.071 0.412 0.408 0.370 0.371       0.586 0.062 0.080 0.005 0.005 0.506 0.060 0.067 0.508 0.074 0.005 0.005
 15 0.066 0.479 0.484 0.067 0.488 0.077 0.504 0.039 0.071 0.409 0.408 0.370 0.374 0.586       0.062 0.075 0.005 0.005 0.506 0.060 0.067 0.508 0.069 0.005 0.005
 16 0.209 0.050 0.046 0.261 0.052 0.298 0.047 0.132 0.510 0.050 0.050 0.012 0.011 0.062 0.062       0.410 0.028 0.029 0.052 0.197 0.246 0.048 0.450 0.026 0.027
 17 0.250 0.056 0.052 0.359 0.063 0.425 0.066 0.164 0.452 0.064 0.064 0.024 0.024 0.080 0.075 0.410       0.034 0.037 0.071 0.250 0.296 0.063 0.576 0.031 0.033
 18 0.018 0.004 0.004 0.028 0.005 0.027 0.004 0.017 0.000 0.000 0.000 0.000 0.000 0.005 0.005 0.028 0.034       0.375 0.005 0.016 0.020 0.005 0.033 0.207 0.148
 19 0.018 0.004 0.004 0.029 0.005 0.029 0.005 0.018 0.027 0.004 0.004 0.000 0.000 0.005 0.005 0.029 0.037 0.375       0.005 0.017 0.020 0.005 0.036 0.259 0.200
 20 0.071 0.512 0.514 0.095 0.531 0.108 0.567 0.043 0.060 0.441 0.438 0.393 0.395 0.506 0.506 0.052 0.071 0.005 0.005       0.070 0.069 0.549 0.067 0.009 0.005
 21 0.380 0.068 0.072 0.239 0.059 0.292 0.070 0.570 0.216 0.064 0.064 0.011 0.021 0.060 0.060 0.197 0.250 0.016 0.017 0.070       0.442 0.059 0.215 0.031 0.016
 22 0.500 0.109 0.106 0.262 0.074 0.323 0.073 0.349 0.266 0.070 0.070 0.062 0.069 0.067 0.067 0.246 0.296 0.020 0.020 0.069 0.442       0.073 0.291 0.037 0.019
 23 0.072 0.532 0.532 0.087 0.552 0.100 0.542 0.036 0.056 0.456 0.453 0.408 0.416 0.508 0.508 0.048 0.063 0.005 0.005 0.549 0.059 0.073       0.058 0.004 0.005
 24 0.246 0.051 0.052 0.350 0.063 0.415 0.062 0.161 0.419 0.064 0.064 0.012 0.012 0.074 0.069 0.450 0.576 0.033 0.036 0.067 0.215 0.291 0.058       0.030 0.032
 25 0.017 0.004 0.004 0.026 0.005 0.025 0.004 0.016 0.024 0.004 0.004 0.004 0.004 0.005 0.005 0.026 0.031 0.207 0.259 0.004 0.016 0.019 0.004 0.030       0.400
 26 0.017 0.009 0.009 0.027 0.005 0.026 0.004 0.017 0.025 0.004 0.004 0.008 0.008 0.005 0.005 0.027 0.033 0.148 0.200 0.005 0.016 0.019 0.005 0.032 0.400      
